latitude,longitude,suggested_samples,number_replacements,mean_percent_replaceable,site_samples,number_of_stations,mean_max_depth,low_oxy_depth,sample_size,sd_replaceable,low_oxy_depth_prop,sd_num,lb,num_lb,min_pct_replaceable,max_pct_replaceable,ID,mean_pct_replaceable,sd,min_suggested,max_suggested,geometry
18,-94,4,1,0.2,5,1,54,40,5,0,0.7407407407407407,0,20,1,0.2,0.2,18 -94,20,0,5,4,"list(c(-95, -95, -93, -93, -95, 17, 19, 19, 17, 17))"
20,-94,5.929065743944637,2.823529411764706,0.32352941176470584,8.764705882352942,4,1863.2058823529412,250,34,0.08349657214468659,0.13283740701381508,0.8337788470424283,22.22222222222222,2,0.2222222222222222,0.4444444444444444,20 -94,32.35294117647059,8.349657214468658,6.816993464052288,4.8692810457516345,"list(c(-95, -95, -93, -93, -95, 19, 21, 21, 19, 19))"
22,-98,4.725,1.8,0.25,6.3,4,126.25,240,20,0.1025978352085154,5.333333333333333,1.1516578439248717,0,0,0,0.3333333333333333,22 -98,25,10.25978352085154,6.3,4.2,"list(c(-99, -99, -97, -97, -99, 21, 23, 23, 21, 21))"
22,-96,6.816,1.68,0.2,8.52,3,2914.44,150,25,0.06338656910463875,0.04968532626697582,0.4760952285695233,12.5,1,0.125,0.2857142857142857,22 -96,20,6.338656910463874,7.455,6.085714285714285,"list(c(-97, -97, -95, -95, -97, 21, 23, 23, 21, 21))"
22,-92,7.07,3,0.3,10.1,2,1850,130,20,0.0309344112444873,0.03951367781155015,0,27.27272727272727,3,0.2727272727272727,0.3333333333333333,22 -92,30,3.09344112444873,7.345454545454546,6.733333333333333,"list(c(-93, -93, -91, -91, -93, 21, 23, 23, 21, 21))"
22,-90,3.3288888888888892,4.266666666666667,0.5333333333333333,7.133333333333334,3,96.8,133,15,0.1951800145897066,1,2.250925735484551,28.000000000000007,1.4000000000000004,0,0.6666666666666666,22 -90,53.333333333333336,19.51800145897066,7.133333333333334,3,"list(c(-91, -91, -89, -89, -91, 21, 23, 23, 21, 21))"
22,-88,3,0.6666666666666666,0.16666666666666666,3,3,29.833333333333332,40,6,0.12909944487358055,1,0.5163977794943222,0,0,0,0.25,22 -88,16.666666666666664,12.909944487358056,5,3,"list(c(-89, -89, -87, -87, -89, 21, 23, 23, 21, 21))"
22,-86,4.25537109375,3.515625,0.453125,7.78125,10,272.5625,30,64,0.17212573187555702,0.2,1.3092126253640768,25,1,0,0.8333333333333334,22 -86,45.3125,17.2125731875557,7.78125,3,"list(c(-87, -87, -85, -85, -87, 21, 23, 23, 21, 21))"
24,-94,7,1,0.125,8,1,1200,125,8,0,0.10416666666666669,0,12.5,1,0.125,0.125,24 -94,12.5,0,7,7,"list(c(-95, -95, -93, -93, -95, 23, 25, 25, 23, 23))"
24,-90,7,3,0.3,10,1,200,150,10,0,0.75,0,30,3,0.3,0.3,24 -90,30,0,7,7,"list(c(-91, -91, -89, -89, -91, 23, 25, 25, 23, 23))"
24,-88,6.755102040816325,2.8,0.2857142857142857,9.457142857142856,4,1110.6,125,35,0.05956581151152963,0.23946360153256704,1.079215401276752,20,1,0.2,0.3333333333333333,24 -88,28.57142857142857,5.956581151152963,7.565714285714284,6.304761904761904,"list(c(-89, -89, -87, -87, -89, 23, 25, 25, 23, 23))"
24,-86,8,6,0.42857142857142855,14,1,1231,800,14,0,0.6498781478472786,0,42.857142857142854,6,0.42857142857142855,0.42857142857142855,24 -86,42.857142857142854,0,8,8,"list(c(-87, -87, -85, -85, -87, 23, 25, 25, 23, 23))"
24,-82,3,0,0,2,1,20,20,2,0,1,0,0,0,0,0,24 -82,0,0,5,3,"list(c(-83, -83, -81, -81, -83, 23, 25, 25, 23, 23))"
24,-80,5.377229080932786,3.703703703703704,0.4074074074074074,9.074074074074074,3,156.7037037037037,100,27,0.0286197190602619,0.6289308176100629,0.4653216269680752,37.5,3,0.375,0.4444444444444444,24 -80,40.74074074074074,2.86197190602619,5.671296296296297,5.041152263374486,"list(c(-81, -81, -79, -79, -81, 23, 25, 25, 23, 23))"
26,-96,4.741735537190084,3,0.3863636363636363,7.727272727272728,7,805.6818181818181,140,44,0.1747006567640999,0.1629802095459837,1.1613945106217465,20,1,0,1,26 -96,38.63636363636363,17.47006567640999,7.727272727272728,3,"list(c(-97, -97, -95, -95, -97, 25, 27, 27, 25, 25))"
26,-94,6.358131487889272,2.264705882352941,0.2647058823529412,8.647058823529411,4,1960.470588235294,225,34,0.1062880290563078,0.07415952537903757,0.8278787617802341,12.5,1,0.125,0.42857142857142855,26 -94,26.47058823529412,10.62880290563078,7.566176470588235,4.9411764705882355,"list(c(-95, -95, -93, -93, -95, 25, 27, 27, 25, 25))"
26,-88,6.518005540166204,2.9473684210526314,0.3157894736842105,9.526315789473683,2,2942,800,19,0.12539735414374104,0.3076923076923077,1.025978352085154,20,2,0.2,0.4444444444444444,26 -88,31.57894736842105,12.539735414374103,7.621052631578946,5.292397660818713,"list(c(-89, -89, -87, -87, -89, 25, 27, 27, 25, 25))"
26,-86,6.875,1.4166666666666667,0.16666666666666666,8.25,3,3280.2916666666665,399,24,0.11511089261379084,0.1213872832369942,0.928611242975073,0,0,0,0.2857142857142857,26 -86,16.666666666666664,11.511089261379084,8.25,5.892857142857142,"list(c(-87, -87, -85, -85, -87, 25, 27, 27, 25, 25))"
